myclusters	SampleID
hypoxic	TCGA.BH.A1FN.01A.11R.A13Q.07
hypoxic	TCGA.E9.A1RH.01A.21R.A169.07
hypoxic	TCGA.A7.A5ZV.01A.11R.A28M.07
hypoxic	TCGA.D8.A1JM.01A.11R.A13Q.07
hypoxic	TCGA.BH.A1EV.01A.11R.A137.07
hypoxic	TCGA.AQ.A04L.01B.21R.A10J.07
hypoxic	TCGA.AC.A23E.01A.11R.A157.07
hypoxic	TCGA.AQ.A0Y5.01A.11R.A14M.07
hypoxic	TCGA.AC.A5EH.01A.11R.A28M.07
hypoxic	TCGA.C8.A12T.01A.11R.A115.07
hypoxic	TCGA.A8.A06R.01A.11R.A00Z.07
hypoxic	TCGA.C8.A26Y.01A.11R.A16F.07
hypoxic	TCGA.A8.A075.01A.11R.A084.07
hypoxic	TCGA.D8.A1XT.01A.11R.A14M.07
hypoxic	TCGA.AN.A0XN.01A.21R.A109.07
hypoxic	TCGA.AN.A0AS.01A.11R.A00Z.07
hypoxic	TCGA.BH.A0DZ.01A.11R.A00Z.07
hypoxic	TCGA.AN.A0XU.01A.11R.A109.07
hypoxic	TCGA.OL.A97C.01A.32R.A41B.07
hypoxic	TCGA.D8.A1Y2.01A.11R.A157.07
hypoxic	TCGA.C8.A12O.01A.11R.A115.07
hypoxic	TCGA.D8.A1JJ.01A.31R.A14M.07
hypoxic	TCGA.A8.A08J.01A.11R.A00Z.07
hypoxic	TCGA.B6.A0IG.01A.11R.A034.07
hypoxic	TCGA.BH.A202.01A.11R.A14M.07
hypoxic	TCGA.A2.A0SV.01A.11R.A084.07
hypoxic	TCGA.Z7.A8R6.01A.11R.A41B.07
hypoxic	TCGA.E2.A14W.01A.11R.A12D.07
hypoxic	TCGA.JL.A3YX.01A.11R.A22U.07
hypoxic	TCGA.AR.A1AS.01A.11R.A12P.07
hypoxic	TCGA.E9.A1RC.01A.11R.A157.07
hypoxic	TCGA.BH.A0EE.01A.11R.A034.07
hypoxic	TCGA.C8.A137.01A.11R.A115.07
hypoxic	TCGA.AN.A0FV.01A.11R.A00Z.07
hypoxic	TCGA.E9.A1RB.01A.11R.A157.07
hypoxic	TCGA.AN.A0AJ.01A.11R.A00Z.07
hypoxic	TCGA.D8.A1XJ.01A.11R.A14M.07
hypoxic	TCGA.BH.A18U.01A.21R.A12D.07
hypoxic	TCGA.E2.A1B0.01A.11R.A12P.07
hypoxic	TCGA.C8.A12Z.01A.11R.A115.07
hypoxic	TCGA.A8.A08B.01A.11R.A00Z.07
hypoxic	TCGA.E2.A14V.01A.11R.A12D.07
hypoxic	TCGA.C8.A1HM.01A.12R.A137.07
hypoxic	TCGA.D8.A1JG.01B.11R.A13Q.07
hypoxic	TCGA.AR.A24U.01A.11R.A169.07
hypoxic	TCGA.AR.A254.01A.21R.A169.07
hypoxic	TCGA.EW.A1OZ.01A.11R.A144.07
hypoxic	TCGA.A8.A094.01A.11R.A00Z.07
hypoxic	TCGA.AO.A0JE.01A.11R.A056.07
hypoxic	TCGA.B6.A0RS.01A.11R.A084.07
hypoxic	TCGA.AN.A0G0.01A.11R.A034.07
hypoxic	TCGA.BH.A1FM.01A.11R.A13Q.07
hypoxic	TCGA.D8.A1JA.01A.11R.A13Q.07
hypoxic	TCGA.D8.A1JT.01A.31R.A13Q.07
hypoxic	TCGA.A7.A26F.01A.21R.A169.07
hypoxic	TCGA.D8.A1J8.01A.11R.A13Q.07
hypoxic	TCGA.A8.A06P.01A.11R.A00Z.07
hypoxic	TCGA.A2.A0EU.01A.22R.A056.07
hypoxic	TCGA.E2.A15F.01A.11R.A115.07
hypoxic	TCGA.A2.A0CP.01A.11R.A034.07
hypoxic	TCGA.AR.A1AP.01A.11R.A12P.07
hypoxic	TCGA.AR.A1AU.01A.11R.A12P.07
hypoxic	TCGA.A8.A07W.01A.11R.A00Z.07
hypoxic	TCGA.C8.A8HP.01A.11R.A36F.07
hypoxic	TCGA.A2.A4S1.01A.21R.A266.07
hypoxic	TCGA.BH.A0BR.01A.21R.A115.07
hypoxic	TCGA.A7.A6VX.01A.12R.A33J.07
hypoxic	TCGA.AN.A0FD.01A.11R.A034.07
hypoxic	TCGA.C8.A12N.01A.11R.A115.07
hypoxic	TCGA.E9.A1N6.01A.11R.A144.07
hypoxic	TCGA.BH.A0H7.01A.13R.A056.07
hypoxic	TCGA.E9.A1NI.01A.11R.A14D.07
hypoxic	TCGA.A8.A08T.01A.21R.A00Z.07
hypoxic	TCGA.A2.A0CX.01A.21R.A00Z.07
hypoxic	TCGA.AN.A0XO.01A.11R.A109.07
hypoxic	TCGA.A7.A3RF.01A.11R.A22K.07
hypoxic	TCGA.AC.A8OR.01A.21R.A41B.07
hypoxic	TCGA.B6.A0X4.01A.11R.A109.07
hypoxic	TCGA.GM.A2DM.01A.11R.A180.07
hypoxic	TCGA.B6.A0I9.01A.11R.A034.07
hypoxic	TCGA.A8.A08I.01A.11R.A00Z.07
hypoxic	TCGA.D8.A1J9.01A.11R.A13Q.07
hypoxic	TCGA.E2.A15T.01A.11R.A115.07
hypoxic	TCGA.E2.A153.01A.12R.A12D.07
hypoxic	TCGA.E9.A1NG.01A.21R.A14M.07
hypoxic	TCGA.A8.A086.01A.11R.A00Z.07
hypoxic	TCGA.AR.A24V.01A.21R.A169.07
hypoxic	TCGA.C8.A26V.01A.11R.A16F.07
hypoxic	TCGA.A7.A0CJ.01A.21R.A00Z.07
hypoxic	TCGA.AR.A1AI.01A.11R.A12P.07
hypoxic	TCGA.BH.A0GY.01A.11R.A056.07
hypoxic	TCGA.AN.A0FY.01A.11R.A034.07
hypoxic	TCGA.BH.A18J.01A.11R.A12D.07
hypoxic	TCGA.E9.A6HE.01A.11R.A31O.07
hypoxic	TCGA.OL.A66O.01A.11R.A31O.07
hypoxic	TCGA.AO.A03R.01A.21R.A034.07
hypoxic	TCGA.C8.A12K.01A.21R.A115.07
hypoxic	TCGA.BH.A0E2.01A.11R.A056.07
hypoxic	TCGA.A8.A079.01A.21R.A00Z.07
hypoxic	TCGA.BH.A0AW.01A.11R.A056.07
hypoxic	TCGA.E2.A14P.01A.31R.A12D.07
hypoxic	TCGA.AN.A0AM.01A.11R.A034.07
hypoxic	TCGA.C8.A1HF.01A.11R.A137.07
hypoxic	TCGA.AO.A1KQ.01A.11R.A13Q.07
hypoxic	TCGA.B6.A0IK.01A.12R.A056.07
hypoxic	TCGA.UL.AAZ6.01A.11R.A41B.07
hypoxic	TCGA.BH.A203.01A.12R.A169.07
hypoxic	TCGA.C8.A12P.01A.11R.A115.07
hypoxic	TCGA.C8.A130.01A.31R.A115.07
hypoxic	TCGA.C8.A135.01A.11R.A115.07
hypoxic	TCGA.BH.A0HB.01A.11R.A056.07
hypoxic	TCGA.EW.A1OY.01A.11R.A144.07
hypoxic	TCGA.A2.A04W.01A.31R.A115.07
hypoxic	TCGA.AN.A04A.01A.21R.A034.07
hypoxic	TCGA.D8.A27N.01A.11R.A16F.07
