myclusters	SampleID
normoxic	TCGA.44.2657.01A.01R.1107.07
normoxic	TCGA.86.8671.01A.11R.2403.07
normoxic	TCGA.49.6744.01A.11R.1858.07
normoxic	TCGA.55.7576.01A.11R.2066.07
normoxic	TCGA.93.7347.01A.11R.2187.07
normoxic	TCGA.44.2655.01A.01R.0946.07
normoxic	TCGA.44.2661.01A.01R.1107.07
normoxic	TCGA.49.AARN.01A.21R.A41B.07
normoxic	TCGA.78.7160.01A.11R.2039.07
normoxic	TCGA.55.6971.01A.11R.1949.07
normoxic	TCGA.69.7761.01A.11R.2170.07
normoxic	TCGA.05.4433.01A.22R.1858.07
normoxic	TCGA.44.6778.01A.11R.1858.07
normoxic	TCGA.67.3774.01A.01R.0946.07
normoxic	TCGA.69.7763.01A.11R.2170.07
normoxic	TCGA.38.A44F.01A.11R.A24H.07
normoxic	TCGA.44.6774.01A.21R.1858.07
normoxic	TCGA.55.8619.01A.11R.2403.07
normoxic	TCGA.55.7574.01A.11R.2039.07
normoxic	TCGA.55.8621.01A.11R.2403.07
normoxic	TCGA.83.5908.01A.21R.2287.07
normoxic	TCGA.55.7728.01A.11R.2187.07
normoxic	TCGA.69.8453.01A.12R.2326.07
normoxic	TCGA.44.A4SS.01A.11R.A24X.07
normoxic	TCGA.69.7980.01A.11R.2187.07
normoxic	TCGA.93.A4JN.01A.11R.A24X.07
normoxic	TCGA.50.5055.01A.01R.1628.07
normoxic	TCGA.75.5122.01A.01R.1755.07
normoxic	TCGA.95.8039.01A.11R.2241.07
normoxic	TCGA.91.6840.01A.11R.1949.07
normoxic	TCGA.L9.A7SV.01A.11R.A39D.07
normoxic	TCGA.55.7816.01A.11R.2170.07
normoxic	TCGA.75.6203.01A.11R.1755.07
normoxic	TCGA.91.6829.01A.21R.1858.07
normoxic	TCGA.78.8648.01A.11R.2403.07
normoxic	TCGA.38.4626.01A.01R.1206.07
normoxic	TCGA.38.7271.01A.11R.2039.07
normoxic	TCGA.93.A4JP.01A.11R.A24X.07
normoxic	TCGA.97.7546.01A.11R.2039.07
normoxic	TCGA.53.7626.01A.12R.2066.07
normoxic	TCGA.93.A4JO.01A.21R.A24X.07
normoxic	TCGA.86.A4P7.01A.11R.A24X.07
normoxic	TCGA.MP.A4TJ.01A.51R.A262.07
normoxic	TCGA.44.6147.01A.11R.1755.07
normoxic	TCGA.99.AA5R.01A.11R.A39D.07
normoxic	TCGA.95.A4VP.01A.21R.A262.07
normoxic	TCGA.MP.A4TD.01A.32R.A262.07
normoxic	TCGA.69.7973.01A.11R.2187.07
normoxic	TCGA.91.A4BC.01A.11R.A24H.07
normoxic	TCGA.44.A479.01A.31R.A24H.07
normoxic	TCGA.62.A46R.01A.11R.A24H.07
normoxic	TCGA.86.8073.01A.11R.2241.07
normoxic	TCGA.05.4405.01A.21R.1858.07
normoxic	TCGA.J2.A4AE.01A.21R.A24H.07
normoxic	TCGA.50.6673.01A.11R.1949.07
normoxic	TCGA.78.7143.01A.11R.2039.07
normoxic	TCGA.55.6979.01A.11R.1949.07
normoxic	TCGA.MP.A4T9.01A.11R.A24X.07
normoxic	TCGA.44.6146.01A.11R.1755.07
normoxic	TCGA.97.7552.01A.11R.2039.07
normoxic	TCGA.78.7540.01A.11R.2066.07
normoxic	TCGA.55.7284.01B.11R.2241.07
normoxic	TCGA.S2.AA1A.01A.12R.A39D.07
normoxic	TCGA.97.A4M1.01A.11R.A24X.07
normoxic	TCGA.97.A4M2.01A.12R.A24X.07
normoxic	TCGA.55.8097.01A.11R.2241.07
normoxic	TCGA.73.7498.01A.12R.2187.07
normoxic	TCGA.75.6206.01A.11R.1755.07
normoxic	TCGA.78.7162.01A.21R.2066.07
normoxic	TCGA.L4.A4E6.01A.11R.A24H.07
normoxic	TCGA.86.8056.01A.11R.2241.07
