myclusters	SampleID
hypoxic	TCGA.09.0369.01A.01R.1564.13
hypoxic	TCGA.30.1861.01A.01R.1568.13
hypoxic	TCGA.09.2044.01B.01R.1568.13
hypoxic	TCGA.29.1701.01A.01R.1567.13
hypoxic	TCGA.29.1762.01A.01R.1567.13
hypoxic	TCGA.59.2350.01A.01R.1569.13
hypoxic	TCGA.24.1843.01A.01R.1567.13
hypoxic	TCGA.61.2002.01A.01R.1568.13
hypoxic	TCGA.13.0730.01A.01R.1564.13
hypoxic	TCGA.29.1697.01A.01R.1567.13
hypoxic	TCGA.13.1507.01A.01R.1565.13
hypoxic	TCGA.13.1405.01A.01R.1565.13
hypoxic	TCGA.29.1770.01A.01R.1567.13
hypoxic	TCGA.30.1857.01A.02R.1569.13
hypoxic	TCGA.25.1315.01A.01R.1565.13
hypoxic	TCGA.09.2056.01B.01R.1568.13
hypoxic	TCGA.13.0799.01A.01R.1564.13
hypoxic	TCGA.61.1725.01A.01R.1567.13
hypoxic	TCGA.61.1907.01A.01R.1567.13
hypoxic	TCGA.61.1738.01A.01R.1567.13
hypoxic	TCGA.61.1919.01A.01R.1568.13
hypoxic	TCGA.13.0920.01A.01R.1564.13
hypoxic	TCGA.61.1917.01A.01R.1568.13
hypoxic	TCGA.61.2110.01A.01R.1568.13
hypoxic	TCGA.25.1630.01A.01R.1566.13
hypoxic	TCGA.30.1860.01A.01R.1568.13
hypoxic	TCGA.20.1682.01A.01R.1564.13
hypoxic	TCGA.24.1103.01A.01R.1565.13
hypoxic	TCGA.29.1761.01A.01R.1567.13
hypoxic	TCGA.13.0897.01A.01R.1564.13
hypoxic	TCGA.09.1659.01B.01R.1564.13
hypoxic	TCGA.29.1784.01A.02R.1567.13
hypoxic	TCGA.24.1842.01A.01R.1567.13
hypoxic	TCGA.04.1348.01A.01R.1565.13
hypoxic	TCGA.04.1365.01A.01R.1565.13
hypoxic	TCGA.61.1737.01A.01R.1567.13
hypoxic	TCGA.23.1027.01A.02R.1564.13
hypoxic	TCGA.24.1428.01A.01R.1564.13
hypoxic	TCGA.09.0367.01A.01R.1564.13
hypoxic	TCGA.13.0899.01A.01R.1564.13
hypoxic	TCGA.13.0801.01A.01R.1564.13
hypoxic	TCGA.13.0924.01A.01R.1564.13
hypoxic	TCGA.61.1914.01A.01R.1567.13
hypoxic	TCGA.61.2092.01A.01R.1568.13
hypoxic	TCGA.59.2363.01A.01R.1569.13
hypoxic	TCGA.29.2428.01A.01R.1569.13
hypoxic	TCGA.57.1583.01A.01R.1566.13
hypoxic	TCGA.24.1469.01A.01R.1566.13
hypoxic	TCGA.25.2393.01A.01R.1569.13
hypoxic	TCGA.24.1418.01A.01R.1565.13
hypoxic	TCGA.29.2414.01A.02R.1569.13
hypoxic	TCGA.09.1667.01C.01R.1566.13
hypoxic	TCGA.23.1122.01A.01R.1565.13
hypoxic	TCGA.24.2281.01A.01R.1568.13
hypoxic	TCGA.13.1498.01A.01R.1565.13
hypoxic	TCGA.13.1512.01A.01R.1565.13
hypoxic	TCGA.25.2404.01A.01R.1569.13
hypoxic	TCGA.61.2008.01A.02R.1568.13
hypoxic	TCGA.24.1562.01A.01R.1566.13
hypoxic	TCGA.57.1585.01A.01R.1566.13
hypoxic	TCGA.23.2078.01A.01R.1568.13
hypoxic	TCGA.36.1574.01A.01R.1566.13
hypoxic	TCGA.13.1511.01A.01R.1565.13
hypoxic	TCGA.13.1403.01A.01R.1565.13
hypoxic	TCGA.24.1847.01A.01R.1566.13
hypoxic	TCGA.31.1946.01A.01R.1568.13
hypoxic	TCGA.25.2399.01A.01R.1569.13
hypoxic	TCGA.25.2401.01A.01R.1569.13
hypoxic	TCGA.24.1552.01A.01R.1566.13
hypoxic	TCGA.31.1956.01A.01R.1568.13
hypoxic	TCGA.24.1436.01A.01R.1566.13
hypoxic	TCGA.61.1736.01B.01R.1568.13
hypoxic	TCGA.24.1419.01A.01R.1565.13
hypoxic	TCGA.09.1669.01A.01R.1566.13
hypoxic	TCGA.25.1322.01A.01R.1565.13
hypoxic	TCGA.30.1855.01A.01R.1567.13
hypoxic	TCGA.13.1481.01A.01R.1565.13
hypoxic	TCGA.24.1550.01A.01R.1566.13
hypoxic	TCGA.24.1463.01A.01R.1566.13
hypoxic	TCGA.29.1693.01A.01R.1567.13
hypoxic	TCGA.29.1705.01A.01R.1567.13
hypoxic	TCGA.20.1683.01A.01R.1566.13
hypoxic	TCGA.24.1434.01A.01R.1566.13
hypoxic	TCGA.24.1563.01A.01R.1566.13
hypoxic	TCGA.61.1724.01A.01R.1568.13
hypoxic	TCGA.24.1560.01A.01R.1566.13
hypoxic	TCGA.36.1577.01A.01R.1566.13
hypoxic	TCGA.61.2012.01A.01R.1568.13
hypoxic	TCGA.61.1998.01A.01R.1568.13
hypoxic	TCGA.24.1603.01A.01R.1566.13
hypoxic	TCGA.25.2391.01A.01R.1569.13
hypoxic	TCGA.24.1549.01A.01R.1566.13
hypoxic	TCGA.25.1623.01A.01R.1566.13
hypoxic	TCGA.13.0890.01A.01R.1564.13
hypoxic	TCGA.23.1809.01A.01R.1566.13
hypoxic	TCGA.24.2262.01A.01R.1568.13
hypoxic	TCGA.24.2298.01A.01R.1569.13
hypoxic	TCGA.23.1023.01R.01R.1564.13
hypoxic	TCGA.24.0975.01A.02R.1565.13
hypoxic	TCGA.25.2397.01A.01R.1569.13
hypoxic	TCGA.24.1850.01A.01R.1567.13
hypoxic	TCGA.23.1026.01B.01R.1569.13
hypoxic	TCGA.30.1891.01A.01R.1568.13
hypoxic	TCGA.13.1506.01A.01R.1565.13
