myclusters	SampleID
hypoxic	TCGA.KK.A6E4.01A.11R.A30B.07
hypoxic	TCGA.H9.A6BY.01A.11R.A30B.07
hypoxic	TCGA.KK.A7AQ.01A.11R.A33R.07
hypoxic	TCGA.HC.A6AN.01A.11R.A30B.07
hypoxic	TCGA.EJ.7325.01B.11R.A32O.07
hypoxic	TCGA.J4.A67K.01A.21R.A30B.07
hypoxic	TCGA.J4.A67S.01A.11R.A30B.07
hypoxic	TCGA.HC.A6AQ.01A.11R.A30B.07
hypoxic	TCGA.J4.A67R.01A.21R.A30B.07
hypoxic	TCGA.J4.A67N.01A.11R.A30B.07
hypoxic	TCGA.KK.A7AY.01A.11R.A33R.07
hypoxic	TCGA.QU.A6IM.01A.11R.A31N.07
hypoxic	TCGA.QU.A6IL.01A.11R.A31N.07
hypoxic	TCGA.QU.A6IN.01A.11R.A31N.07
hypoxic	TCGA.FC.A66V.01A.21R.A30B.07
hypoxic	TCGA.J4.A67O.01A.11R.A30B.07
hypoxic	TCGA.G9.6379.01A.11R.A31N.07
hypoxic	TCGA.HC.A6HX.01A.11R.A31N.07
hypoxic	TCGA.QU.A6IO.01A.11R.A31N.07
hypoxic	TCGA.G9.6347.01A.11R.A31N.07
hypoxic	TCGA.EJ.A65B.01A.12R.A30B.07
hypoxic	TCGA.HC.A6AS.01A.11R.A30B.07
hypoxic	TCGA.J4.A67L.01A.11R.A30B.07
hypoxic	TCGA.KK.A6E3.01A.21R.A30B.07
hypoxic	TCGA.J4.A67M.01A.11R.A30B.07
hypoxic	TCGA.J4.A67Q.01A.21R.A30B.07
hypoxic	TCGA.KK.A7AW.01A.11R.A32O.07
hypoxic	TCGA.HC.A6AP.01A.11R.A30B.07
hypoxic	TCGA.KK.A7B0.01A.11R.A32O.07
hypoxic	TCGA.ZG.A9LB.01A.11R.A41O.07
hypoxic	TCGA.V1.A8WW.01A.11R.A37L.07
hypoxic	TCGA.VP.A872.01A.11R.A352.07
hypoxic	TCGA.4L.AA1F.01A.11R.A41O.07
hypoxic	TCGA.KK.A8IB.01A.11R.A36G.07
hypoxic	TCGA.ZG.A8QW.01A.11R.A37L.07
hypoxic	TCGA.M7.A71Z.01A.12R.A32O.07
hypoxic	TCGA.HC.A6AL.01A.11R.A30B.07
hypoxic	TCGA.EJ.5521.01A.01R.1580.07
hypoxic	TCGA.V1.A9Z7.01A.11R.A41O.07
hypoxic	TCGA.KC.A7F5.01A.11R.A33R.07
hypoxic	TCGA.KK.A6E1.01A.11R.A311.07
hypoxic	TCGA.XK.AAIV.01A.11R.A41O.07
hypoxic	TCGA.KK.A7B4.01A.11R.A32O.07
hypoxic	TCGA.V1.A9O5.01A.11R.A41O.07
hypoxic	TCGA.EJ.A46F.01A.31R.A250.07
hypoxic	TCGA.EJ.A65D.01A.11R.A30B.07
hypoxic	TCGA.M7.A722.01A.12R.A36G.07
hypoxic	TCGA.FC.A6HD.01A.11R.A31N.07
hypoxic	TCGA.HC.A6AO.01A.11R.A30B.07
hypoxic	TCGA.KK.A6E7.01A.11R.A31N.07
hypoxic	TCGA.YL.A9WH.01A.11R.A37L.07
hypoxic	TCGA.M7.A724.01A.12R.A32O.07
hypoxic	TCGA.XK.AAIW.01A.11R.A41O.07
hypoxic	TCGA.G9.A9S0.01A.11R.A41O.07
hypoxic	TCGA.CH.5769.01A.11R.1580.07
hypoxic	TCGA.HC.A9TH.01A.11R.A41O.07
hypoxic	TCGA.KK.A59X.01A.11R.A29R.07
hypoxic	TCGA.CH.5788.01A.11R.1580.07
hypoxic	TCGA.FC.A4JI.01A.11R.A250.07
normoxic	TCGA.G9.6353.01A.11R.1965.07
normoxic	TCGA.G9.6336.01A.11R.1789.07
normoxic	TCGA.XJ.A9DK.01A.11R.A37L.07
normoxic	TCGA.M7.A71Y.01A.22R.A32O.07
normoxic	TCGA.M7.A720.01A.12R.A32O.07
normoxic	TCGA.EJ.5503.01A.01R.1580.07
normoxic	TCGA.G9.6385.01A.11R.1789.07
normoxic	TCGA.V1.A9ZK.01A.11R.A41O.07
normoxic	TCGA.G9.6494.01A.11R.1789.07
normoxic	TCGA.HC.7740.01A.11R.2118.07
normoxic	TCGA.EJ.A7NJ.01A.22R.A352.07
normoxic	TCGA.EJ.A7NK.01A.12R.A352.07
normoxic	TCGA.EJ.A46B.01A.31R.A250.07
normoxic	TCGA.G9.6367.01A.11R.1789.07
normoxic	TCGA.G9.6370.01A.11R.1789.07
normoxic	TCGA.CH.5743.01A.21R.1580.07
normoxic	TCGA.EJ.5510.01A.01R.1580.07
normoxic	TCGA.HC.7232.01A.11R.2118.07
normoxic	TCGA.EJ.7793.01A.31R.2263.07
normoxic	TCGA.G9.6351.01A.21R.1965.07
normoxic	TCGA.HC.7820.01A.11R.2118.07
normoxic	TCGA.J4.A6M7.01A.11R.A31N.07
normoxic	TCGA.EJ.A7NH.01A.12R.A33R.07
