myclusters	SampleID
hypoxic	TCGA.SI.AA8B.01A.11R.A38C.07
hypoxic	TCGA.X9.A973.01A.11R.A38C.07
hypoxic	TCGA.DX.A6B8.01A.11R.A30C.07
hypoxic	TCGA.HS.A5N9.01A.11R.A26T.07
hypoxic	TCGA.DX.A8BU.01A.11R.A37L.07
hypoxic	TCGA.3B.A9HI.01A.11R.A38C.07
hypoxic	TCGA.QC.AA9N.01A.11R.A39D.07
hypoxic	TCGA.DX.AATS.01A.12R.A41I.07
hypoxic	TCGA.QC.A6FX.01A.11R.A32Q.07
hypoxic	TCGA.QQ.A5VC.01A.31R.A32Q.07
hypoxic	TCGA.DX.A7EF.01A.11R.A33J.07
hypoxic	TCGA.DX.A8BX.01A.11R.A37L.07
hypoxic	TCGA.DX.A8BJ.01A.11R.A41I.07
hypoxic	TCGA.QQ.A8VF.01A.11R.A37L.07
hypoxic	TCGA.DX.A6YX.01A.11R.A41I.07
hypoxic	TCGA.KF.A41W.01A.11R.A24X.07
hypoxic	TCGA.PC.A5DM.01A.11R.A27Q.07
hypoxic	TCGA.WK.A8Y0.01A.11R.A41I.07
hypoxic	TCGA.3B.A9HT.01A.11R.A39D.07
hypoxic	TCGA.3R.A8YX.01A.11R.A37L.07
hypoxic	TCGA.RN.AAAQ.01A.21R.A39D.07
hypoxic	TCGA.DX.AB2X.01A.11R.A38C.07
hypoxic	TCGA.MB.A5Y8.01A.11R.A29R.07
hypoxic	TCGA.K1.A6RV.01A.11R.A32Q.07
hypoxic	TCGA.X6.A8C4.01A.11R.A36F.07
hypoxic	TCGA.DX.AB2E.01A.11R.A39D.07
hypoxic	TCGA.3B.A9HX.01A.11R.A39D.07
hypoxic	TCGA.HB.A2OT.01A.11R.A21T.07
hypoxic	TCGA.X9.A971.01A.11R.A38C.07
hypoxic	TCGA.DX.A3UE.01A.11R.A30C.07
hypoxic	TCGA.DX.A48L.01A.11R.A30C.07
hypoxic	TCGA.HS.A5N7.01A.21R.A26T.07
hypoxic	TCGA.MJ.A68H.01A.11R.A30C.07
hypoxic	TCGA.3B.A9HR.01A.11R.A38C.07
hypoxic	TCGA.WK.A8XY.01A.11R.A37L.07
hypoxic	TCGA.3B.A9HP.01A.11R.A38C.07
hypoxic	TCGA.DX.A8BO.01A.11R.A41I.07
hypoxic	TCGA.DX.A3UD.01A.11R.A30C.07
hypoxic	TCGA.DX.A8BS.01A.11R.A37L.07
hypoxic	TCGA.3B.A9I3.01A.11R.A39D.07
hypoxic	TCGA.WK.A8XX.01A.11R.A37L.07
hypoxic	TCGA.DX.A8BH.01A.11R.A37L.07
hypoxic	TCGA.DX.A6BF.01A.11R.A30C.07
hypoxic	TCGA.WK.A8XO.01A.11R.A37L.07
hypoxic	TCGA.JV.A75J.01A.11R.A32Q.07
hypoxic	TCGA.3B.A9HV.01A.11R.A39D.07
hypoxic	TCGA.QQ.A5VB.01A.11R.A36F.07
hypoxic	TCGA.FX.A3TO.01A.11R.A22K.07
hypoxic	TCGA.X6.A7WC.01A.12R.A355.07
hypoxic	TCGA.IF.A3RQ.01A.11R.A22K.07
hypoxic	TCGA.KD.A5QS.01A.11R.A27Q.07
hypoxic	TCGA.QQ.A5V9.01A.11R.A32Q.07
hypoxic	TCGA.DX.A3U9.01A.11R.A30C.07
hypoxic	TCGA.SI.A71O.01A.12R.A33J.07
hypoxic	TCGA.PC.A5DP.01A.11R.A26T.07
hypoxic	TCGA.3B.A9HZ.01A.11R.A39D.07
hypoxic	TCGA.X6.A7WD.01A.21R.A355.07
hypoxic	TCGA.DX.A7ER.01A.11R.A36F.07
