myclusters	SampleID
hypoxic	TCGA.BR.4369.01A.01R.1157.13
hypoxic	TCGA.BR.8362.01A.11R.2343.13
hypoxic	TCGA.VQ.A8DV.01A.12R.A36D.31
hypoxic	TCGA.BR.4361.01A.01R.1157.13
hypoxic	TCGA.BR.A44U.01A.11R.A36D.31
hypoxic	TCGA.RD.A7C1.01A.11R.A32D.31
hypoxic	TCGA.FP.A4BF.01A.12R.A36D.31
hypoxic	TCGA.ZQ.A9CR.01A.11R.A39E.31
hypoxic	TCGA.R5.A7ZI.01A.11R.A354.31
hypoxic	TCGA.HU.A4GQ.01A.11R.A36D.31
hypoxic	TCGA.CD.8525.01A.11R.2343.13
hypoxic	TCGA.CD.A487.01A.21R.A24K.31
hypoxic	TCGA.BR.7717.01A.11R.2055.13
hypoxic	TCGA.CD.A48C.01A.11R.A24K.31
hypoxic	TCGA.CD.A4MG.01A.11R.A251.31
hypoxic	TCGA.HU.A4H2.01A.11R.A251.31
hypoxic	TCGA.CD.A48A.01A.12R.A36D.31
hypoxic	TCGA.FP.8211.01A.11R.2343.13
hypoxic	TCGA.HU.8249.01A.11R.A36D.31
hypoxic	TCGA.VQ.A8P5.01A.11R.A39E.31
hypoxic	TCGA.BR.8690.01A.11R.2402.13
hypoxic	TCGA.HU.8243.01A.11R.2343.13
hypoxic	TCGA.BR.A4PE.01A.31R.A251.31
hypoxic	TCGA.IN.A6RS.01A.12R.A354.31
hypoxic	TCGA.R5.A7O7.01A.11R.A33Y.31
hypoxic	TCGA.BR.A4J1.01A.11R.A251.31
hypoxic	TCGA.CG.5722.01A.21R.1602.13
hypoxic	TCGA.D7.A6F0.01A.11R.A31P.31
hypoxic	TCGA.D7.A6EZ.01A.11R.A31P.31
hypoxic	TCGA.BR.8487.01A.11R.2402.13
hypoxic	TCGA.BR.A4CS.01A.11R.A24K.31
hypoxic	TCGA.R5.A7ZF.01A.11R.A354.31
hypoxic	TCGA.BR.A452.01A.91R.A251.31
hypoxic	TCGA.F1.A72C.01A.21R.A33Y.31
hypoxic	TCGA.HU.A4GD.01A.11R.A36D.31
hypoxic	TCGA.VQ.A8PH.01A.12R.A414.31
hypoxic	TCGA.IN.A6RI.01A.11R.A32D.31
hypoxic	TCGA.VQ.AA6I.01A.11R.A414.31
hypoxic	TCGA.CG.4436.01A.01R.1157.13
hypoxic	TCGA.RD.A7BT.01A.11R.A33Y.31
