myclusters	SampleID
normoxic	TCGA.XU.A92V.01A.11R.A42C.07
normoxic	TCGA.ZB.A96M.01A.11R.A42S.07
normoxic	TCGA.XM.A8R8.01A.11R.A42C.07
normoxic	TCGA.ZB.A96K.01A.11R.A42S.07
normoxic	TCGA.X7.A8D8.01A.11R.A42C.07
normoxic	TCGA.X7.A8M1.01A.11R.A42C.07
normoxic	TCGA.YT.A95F.01A.11R.A42C.07
normoxic	TCGA.ZB.A96D.01A.11R.A42S.07
normoxic	TCGA.ZB.A96Q.01A.11R.A42S.07
normoxic	TCGA.XM.A8RI.01A.12R.A42C.07
normoxic	TCGA.ZB.A963.01A.11R.A42S.07
normoxic	TCGA.4V.A9QM.01A.11R.A42C.07
normoxic	TCGA.4V.A9QL.01A.11R.A42C.07
normoxic	TCGA.X7.A8D9.01A.11R.A42C.07
normoxic	TCGA.XU.A92U.01A.11R.A42C.07
normoxic	TCGA.ZL.A9V6.01A.11R.A42S.07
normoxic	TCGA.XU.A92T.01A.11R.A42C.07
normoxic	TCGA.ZB.A964.01A.11R.A42S.07
normoxic	TCGA.XU.A92Q.01A.11R.A42C.07
normoxic	TCGA.ZB.A965.01A.11R.A42S.07
normoxic	TCGA.ZB.A96L.01A.11R.A42S.07
normoxic	TCGA.XM.A8RG.01A.11R.A42C.07
normoxic	TCGA.YT.A95D.01A.11R.A42C.07
normoxic	TCGA.ZB.A96C.01A.11R.A42S.07
normoxic	TCGA.5V.A9RR.01A.11R.A42C.07
normoxic	TCGA.3G.AB0Q.01A.11R.A42C.07
normoxic	TCGA.4X.A9FA.01A.11R.A42C.07
normoxic	TCGA.ZB.A969.01A.11R.A42S.07
normoxic	TCGA.XM.AAZ3.01A.11R.A42C.07
normoxic	TCGA.XM.AAZ2.01A.11R.A42C.07
normoxic	TCGA.ZB.A96H.01A.11R.A42S.07
normoxic	TCGA.3G.AB19.01A.21R.A42C.07
normoxic	TCGA.X7.A8M0.01A.11R.A42C.07
intermediate	TCGA.ZB.A96G.01A.11R.A42S.07
intermediate	TCGA.XM.A8RE.01A.11R.A42C.07
intermediate	TCGA.XU.AAY1.01A.11R.A42C.07
intermediate	TCGA.X7.A8DD.01A.11R.A42C.07
intermediate	TCGA.XU.AAY0.01A.11R.A42C.07
intermediate	TCGA.ZB.A96A.01A.11R.A42S.07
intermediate	TCGA.X7.A8DF.01A.11R.A42C.07
intermediate	TCGA.ZC.AAAF.01A.11R.A42S.07
intermediate	TCGA.YT.A95H.01A.11R.A42S.07
intermediate	TCGA.X7.A8M8.01A.11R.A42C.07
intermediate	TCGA.XH.A853.01A.11R.A42C.07
intermediate	TCGA.X7.A8M4.01A.11R.A42C.07
intermediate	TCGA.ZB.A96B.01A.11R.A42S.07
intermediate	TCGA.4X.A9FC.01A.11R.A42C.07
intermediate	TCGA.XM.A8RH.01A.11R.A42C.07
intermediate	TCGA.X7.A8DE.01A.11R.A42C.07
intermediate	TCGA.X7.A8DJ.01A.11R.A42C.07
intermediate	TCGA.XM.A8RF.01A.11R.A42C.07
intermediate	TCGA.ZB.A96E.01A.11R.A42S.07
intermediate	TCGA.XM.A8R9.01A.31R.A42C.07
intermediate	TCGA.5K.AAAP.01A.11R.A42C.07
intermediate	TCGA.XU.A92O.01A.11R.A42C.07
intermediate	TCGA.X7.A8D6.01A.11R.A42C.07
intermediate	TCGA.3T.AA9L.01A.11R.A42C.07
intermediate	TCGA.YT.A95E.01A.11R.A42C.07
intermediate	TCGA.4V.A9QU.01A.11R.A42C.07
intermediate	TCGA.4V.A9QX.01A.11R.A42C.07
intermediate	TCGA.4V.A9QI.01A.11R.A42C.07
intermediate	TCGA.4V.A9QR.01A.11R.A42C.07
hypoxic	TCGA.3G.AB0T.01A.11R.A42C.07
hypoxic	TCGA.ZC.AAAH.01A.11R.A42S.07
hypoxic	TCGA.ZB.A96O.01A.11R.A42S.07
hypoxic	TCGA.X7.A8M7.01A.11R.A42C.07
hypoxic	TCGA.4X.A9F9.01A.11R.A42C.07
hypoxic	TCGA.XU.AAXY.01A.11R.A42C.07
hypoxic	TCGA.X7.A8M6.01A.11R.A42C.07
hypoxic	TCGA.XU.A932.01A.11R.A42C.07
hypoxic	TCGA.5U.AB0D.01A.11R.A42C.07
hypoxic	TCGA.5U.AB0E.01A.11R.A42C.07
hypoxic	TCGA.X7.A8M5.01A.11R.A42C.07
hypoxic	TCGA.XU.A92X.01A.11R.A42C.07
hypoxic	TCGA.XU.AAXZ.01A.11R.A466.07
hypoxic	TCGA.5U.AB0F.01A.11R.A42C.07
hypoxic	TCGA.4V.A9QW.01A.11R.A42C.07
hypoxic	TCGA.ZT.A8OM.01A.11R.A42S.07
hypoxic	TCGA.XM.A8RB.01A.11R.A42C.07
hypoxic	TCGA.X7.A8D7.01A.11R.A42C.07
hypoxic	TCGA.3S.AAYX.01A.11R.A42C.07
hypoxic	TCGA.ZB.A96P.01A.11R.A42S.07
hypoxic	TCGA.XM.A8RD.01A.11R.A42C.07
hypoxic	TCGA.XU.A92Y.01A.11R.A42C.07
hypoxic	TCGA.3G.AB14.01A.11R.A42C.07
