myclusters	SampleID
normoxic	TCGA.BS.A0V4.01A.11R.A14D.07
normoxic	TCGA.QS.A8F1.01A.21R.A37O.07
normoxic	TCGA.B5.A5OD.01A.11R.A31O.07
normoxic	TCGA.EY.A1GO.01A.11R.A14D.07
normoxic	TCGA.AX.A3G1.01A.11R.A22K.07
normoxic	TCGA.B5.A3FD.01A.11R.A19W.07
normoxic	TCGA.D1.A3JQ.01A.11R.A22K.07
normoxic	TCGA.AX.A3G7.01A.12R.A213.07
normoxic	TCGA.QF.A5YS.01A.11R.A31O.07
normoxic	TCGA.AJ.A3I9.01A.11R.A22K.07
normoxic	TCGA.B5.A0JN.01A.11R.A104.07
normoxic	TCGA.B5.A3FC.01A.11R.A22K.07
normoxic	TCGA.EO.A3L0.01A.11R.A22K.07
normoxic	TCGA.B5.A11R.01A.11R.A118.07
normoxic	TCGA.QS.A5YQ.01A.11R.A31O.07
normoxic	TCGA.SJ.A6ZJ.01A.12R.A34R.07
normoxic	TCGA.AJ.A3BK.01A.11R.A19W.07
normoxic	TCGA.QS.A5YR.01A.31R.A31O.07
normoxic	TCGA.DF.A2KV.01A.11R.A180.07
normoxic	TCGA.AJ.A8CV.01A.11R.A37O.07
normoxic	TCGA.B5.A3FB.01A.11R.A19W.07
normoxic	TCGA.BS.A0V7.01A.21R.A118.07
normoxic	TCGA.DI.A1C3.01A.41R.A137.07
normoxic	TCGA.AJ.A8CT.01A.11R.A37O.07
normoxic	TCGA.AJ.A3OK.01A.12R.A22K.07
normoxic	TCGA.AX.A3GB.01A.11R.A22K.07
normoxic	TCGA.BG.A0MK.01A.51R.A19W.07
normoxic	TCGA.EY.A2OO.01A.11R.A19W.07
normoxic	TCGA.AJ.A6NU.01A.11R.A34R.07
normoxic	TCGA.BK.A6W4.01A.12R.A34R.07
normoxic	TCGA.5S.A9Q8.01A.11R.A40A.07
normoxic	TCGA.A5.AB3J.01A.11R.A40A.07
normoxic	TCGA.D1.A3JP.01A.31R.A22K.07
normoxic	TCGA.AJ.A3NG.01A.11R.A22K.07
normoxic	TCGA.B5.A1MS.01B.11R.A22K.07
normoxic	TCGA.EO.A3AS.01A.11R.A19W.07
normoxic	TCGA.BK.A4ZD.01A.11R.A27V.07
normoxic	TCGA.B5.A5OC.01A.21R.A27V.07
normoxic	TCGA.KP.A3W3.01A.11R.A22K.07
normoxic	TCGA.AJ.A3NF.01A.11R.A22K.07
normoxic	TCGA.KP.A3W4.01A.11R.A22K.07
normoxic	TCGA.DI.A2QY.01A.12R.A19W.07
normoxic	TCGA.AX.A3G4.01A.11R.A213.07
normoxic	TCGA.DI.A1BU.01A.11R.A137.07
normoxic	TCGA.D1.A3DG.01A.11R.A19W.07
normoxic	TCGA.AP.A5FX.01A.11R.A27V.07
normoxic	TCGA.AX.A3G6.01A.11R.A213.07
normoxic	TCGA.E6.A2P9.01A.11R.A19W.07
normoxic	TCGA.EY.A548.01A.11R.A27V.07
normoxic	TCGA.PG.A917.01A.31R.A37O.07
normoxic	TCGA.B5.A3F9.01A.21R.A22K.07
normoxic	TCGA.BK.A56F.01A.32R.A27V.07
normoxic	TCGA.AJ.A8CW.01A.11R.A37O.07
normoxic	TCGA.AX.A3FW.01A.11R.A22K.07
normoxic	TCGA.E6.A8L9.01A.21R.A37O.07
normoxic	TCGA.EY.A1GP.01A.11R.A13S.07
normoxic	TCGA.AJ.A3NH.01A.11R.A22K.07
normoxic	TCGA.EY.A3L3.01A.11R.A22K.07
normoxic	TCGA.KP.A3VZ.01A.11R.A22K.07
normoxic	TCGA.EO.A3B1.01A.12R.A19W.07
normoxic	TCGA.KJ.A3U4.01A.11R.A22K.07
normoxic	TCGA.EY.A210.01A.11R.A157.07
normoxic	TCGA.A5.A1OH.01A.21R.A22K.07
normoxic	TCGA.PG.A7D5.01A.11R.A34R.07
normoxic	TCGA.AJ.A3QS.01A.11R.A22K.07
normoxic	TCGA.AJ.A3NE.01A.11R.A22K.07
normoxic	TCGA.AX.A2HH.01A.11R.A32Y.07
normoxic	TCGA.AJ.A3IA.01A.11R.A213.07
normoxic	TCGA.5B.A90C.01A.11R.A37O.07
normoxic	TCGA.KP.A3W0.01A.21R.A22K.07
intermediate	TCGA.AX.A2H4.01A.21R.A18M.07
intermediate	TCGA.AX.A3FT.01A.11R.A22K.07
intermediate	TCGA.KP.A3W1.01A.11R.A22K.07
intermediate	TCGA.A5.A2K4.01A.11R.A18M.07
intermediate	TCGA.AJ.A2QM.01A.11R.A18M.07
intermediate	TCGA.FI.A3PV.01A.11R.A22K.07
intermediate	TCGA.PG.A5BC.01A.12R.A27V.07
intermediate	TCGA.AJ.A23N.01A.11R.A22K.07
intermediate	TCGA.EY.A54A.01A.11R.A27V.07
intermediate	TCGA.AJ.A3BH.01A.11R.A19W.07
